SG=<i>P</i><i>m</i>'<i>m</i>'<i>a</i>
 name=51.294
 spinor=True
symmetries=
     1 0 0 0 1 0 0 0 1    0 0 0    1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
 -1 0 0 0 -1 0 0 0 1    1/2 0 0   1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
  -1 0 0 0 -1 0 0 0 -1    0 0 0    1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
  1 0 0 0 1 0 0 0 -1    1/2 0 0   1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
   -1 0 0 0 1 0 0 0 -1    0 0 0    0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0
 1 0 0 0 -1 0 0 0 -1    1/2 0 0  0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0
    1 0 0 0 -1 0 0 0 1    0 0 0    0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0
  -1 0 0 0 1 0 0 0 1    1/2 0 0  0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2 3 4 5 6 7 8
-GM3  1  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0  1.0  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0
-GM4  1  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0  1.0  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0



kpoint  R : 0.500000 0.500000 0.500000 :  1 2 3 4 5 6 7 8
-(R)E2  2  0.0  0.0  0.0 -2.0  0.0  0.0  0.0  2.0  0.0  0.0  0.0 -2.0  0.0  0.0  0.0



kpoint  S : 0.500000 0.500000 0.000000 :  1 2 3 4 5 6 7 8
-(S)A2  2  0.0  0.0  0.0 -2.0  0.0  0.0  0.0  2.0  0.0  0.0  0.0 -2.0  0.0  0.0  0.0



kpoint  T : 0.000000 0.500000 0.500000 :  1 2 3 4 5 6 7 8
-(T)C3  1  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0  1.0  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0
-(T)C4  1  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0  1.0  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0



kpoint  U : 0.500000 0.000000 0.500000 :  1 2 3 4 5 6 7 8
-(U)D2  2  0.0  0.0  0.0 -2.0  0.0  0.0  0.0  2.0  0.0  0.0  0.0 -2.0  0.0  0.0  0.0



kpoint  X : 0.500000 0.000000 0.000000 :  1 2 3 4 5 6 7 8
-(X)B2  2  0.0  0.0  0.0 -2.0  0.0  0.0  0.0  2.0  0.0  0.0  0.0 -2.0  0.0  0.0  0.0



kpoint  Y : 0.000000 0.500000 0.000000 :  1 2 3 4 5 6 7 8
-Y3  1  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0  1.0  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0
-Y4  1  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0  1.0  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0



kpoint  Z : 0.000000 0.000000 0.500000 :  1 2 3 4 5 6 7 8
-Z3  1  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0  1.0  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0
-Z4  1  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0  1.0  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0
