SG=<i>A</i><sub><i>b</i></sub><i>b</i><i>m</i>2
 name=39.201
 spinor=True
symmetries=
        1 0 0   0 1 0   0 0 1   0 0 0    1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
      -1 0 0   0 -1 0   0 0 1   0 0 0   1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
 1 0 0   0 -1 0   0 0 1   0 0 0.50000    0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0
 -1 0 0   0 1 0   0 0 1   0 0 0.50000  0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2 3 4
-GM5  2   2.000 2.000 0.000 0.000 0.000 -2.000 0.000 0.000 0.000 0.000 2.000 0.000 0.000 0.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000



kpoint  R : 0.500000 0.000000 0.500000 ; R  :  0.5 0.5 -0.5 :  1 2
-R3  1   1.000 1.000 1.000 -1.000 -1.000 1.000 -1.000 -1.000 1.000 0.000 0.000 0.000 -1.000 -1.000 0.000 -1.000 -1.000 0.000
-R4  1   1.000 1.000 -1.000 -1.000 1.000 1.000 1.000 -1.000 -1.000 0.000 0.000 -1.000 -1.000 0.000 0.000 0.000 -1.000 -1.000



kpoint  S : 0.000000 0.000000 0.500000 ; S  :  0.0 0.5 -0.5 :  1 2
-S3  1   1.000 1.000 -1.000 -1.000 1.000 1.000 1.000 -1.000 -1.000 0.000 0.000 -1.000 -1.000 0.000 0.000 0.000 -1.000 -1.000
-S4  1   1.000 1.000 1.000 -1.000 -1.000 1.000 -1.000 -1.000 1.000 0.000 0.000 0.000 -1.000 -1.000 0.000 -1.000 -1.000 0.000



kpoint  T : 0.500000 0.500000 0.500000 ; T  :  0.5 0.0 -1.0 :  1 2 3 4
-T5  2   2.000 2.000 0.000 0.000 0.000 -2.000 0.000 0.000 0.000 0.000 2.000 0.000 0.000 0.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000



kpoint  Y : 0.000000 0.500000 0.500000 ; Y  :  0.0 0.0 -1.0 :  1 2 3 4
-Y5  2   2.000 2.000 0.000 0.000 0.000 -2.000 0.000 0.000 0.000 0.000 2.000 0.000 0.000 0.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000



kpoint  Z : 0.500000 0.000000 0.000000 ; Z  :  0.5 0.0 0.0 :  1 2 3 4
-Z5  2   2.000 2.000 0.000 0.000 0.000 -2.000 0.000 0.000 0.000 0.000 2.000 0.000 0.000 0.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000
