SG=<i>R</i>-3<i>c</i>'
 name=167.107
 spinor=False
symmetries=
      1 0 0 0 1 0 0 0 1    0 0 0                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
    0 -1 0 1 -1 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 0.6666666666666667
    -1 1 0 -1 0 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.6666666666666667 0.0 0.0 0.3333333333333333
   -1 0 0 0 -1 0 0 0 -1    0 0 0                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
    0 1 0 -1 1 0 0 0 -1    0 0 0   1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 0.6666666666666667
    1 -1 0 1 0 0 0 0 -1    0 0 0   1.0 0.0 0.0 1.0    0.6666666666666667 0.0 0.0 0.3333333333333333
   0 1 0 1 0 0 0 0 -1    0 0 1/2  0.0 1.0 1.0 0.0    0.0 -0.6666666666666667 0.6666666666666667 0.0
 1 -1 0 0 -1 0 0 0 -1    0 0 1/2                                 0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0
 -1 0 0 -1 1 0 0 0 -1    0 0 1/2   0.0 1.0 1.0 0.0    0.0 0.6666666666666667 0.3333333333333333 0.0
  0 -1 0 -1 0 0 0 0 1    0 0 1/2  0.0 1.0 1.0 0.0    0.0 -0.6666666666666667 0.6666666666666667 0.0
   -1 1 0 0 1 0 0 0 1    0 0 1/2                                 0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0
   1 0 0 1 -1 0 0 0 1    0 0 1/2   0.0 1.0 1.0 0.0    0.0 0.6666666666666667 0.3333333333333333 0.0


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2 3 4 5 6 7 8 9 10 11 12
-GM1+  1  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0
-GM1-  1  1.0  1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0
-GM2+  1 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5
-GM2-  1 -0.5 -0.5 -1.0  0.5  0.5  1.0 -0.5 -0.5 -1.0  0.5  0.5  1.0 -0.5 -0.5 -1.0  0.5  0.5  1.0 -0.5 -0.5 -1.0  0.5  0.5
-GM3+  1 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5  1.0 -0.5 -0.5
-GM3-  1 -0.5 -0.5 -1.0  0.5  0.5  1.0 -0.5 -0.5 -1.0  0.5  0.5  1.0 -0.5 -0.5 -1.0  0.5  0.5  1.0 -0.5 -0.5 -1.0  0.5  0.5
-GM7   1 -1.0 -1.0 -1.0  1.0  1.0 -1.0  1.0  1.0  1.0 -1.0 -1.0  1.0 -1.0  1.0 -1.0  1.0 -1.0 -1.0  1.0 -1.0  1.0 -1.0  1.0
-GM8   1  0.5  0.5 -1.0 -0.5 -0.5 -1.0 -0.5 -0.5  1.0  0.5  0.5  1.0  0.5 -0.5 -1.0 -0.5  0.5 -1.0 -0.5  0.5  1.0  0.5 -0.5
-GM9   1  0.5  0.5 -1.0 -0.5 -0.5 -1.0 -0.5 -0.5  1.0  0.5  0.5  1.0  0.5 -0.5 -1.0 -0.5  0.5 -1.0 -0.5  0.5  1.0  0.5 -0.5



kpoint  F : 0.500000 0.500000 0.500000 :  1 2 3 4
-F1+  1  1.0  1.0  1.0 -1.0 -1.0 -1.0 -1.0
-F1-  1 -1.0  1.0 -1.0 -1.0  1.0 -1.0  1.0
-F2   1 -1.0 -1.0  1.0 -1.0  1.0  1.0 -1.0



kpoint  L : 0.333333 0.666667 0.166667 :  1 2 3 4
-L1-L1+  2  0.0  2.0  0.0  0.0  0.0  0.0  0.0



kpoint  T : 0.500000 0.000000 0.500000 :  1 2 3 4 5 6 7 8 9 10 11 12
-T1-T1+  2  2.0  2.0  0.0  0.0  0.0  2.0  2.0  2.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
-T2-T2+  2 -1.0 -1.0  0.0  0.0  0.0  2.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
-T3-T3+  2 -1.0 -1.0  0.0  0.0  0.0  2.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
