SG=Cc'c2'
 name=37.182
 spinor=True
symmetries=
        1 0 0   0 1 0   0 0 1   0 0 0  1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
 1 0 0   0 -1 0   0 0 1   0 0 0.50000  0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2
-GM3  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 -0.500 -1.000 0.500 0.000 -0.500 -1.000 0.500
-GM4  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 0.500 -1.000 -0.500 0.000 0.500 -1.000 -0.500



kpoint  R : 0.000000 0.500000 0.500000 ; L  :  0.5 0.5 0.5 :  1
-(R)L2  1   1.000 1.000 -1.000 -0.000 -0.000 0.000 0.000 -1.000 -0.500 0.500



kpoint  S : 0.000000 0.500000 0.000000 ; V  :  0.5 0.5 0.0 :  1
-(S)V2  1   1.000 1.000 -1.000 -0.000 -0.000 0.000 0.000 -1.000 -0.500 0.500



kpoint  T : 0.500000 0.500000 0.500000 ; M  :  1.0 0.0 0.5 :  1 2
-(T)M3M4  2   2.000 2.000 0.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000 0.000 0.000 0.000



kpoint  Y : 0.500000 0.500000 0.000000 ; Y  :  1.0 0.0 0.0 :  1 2
-Y3  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 -0.500 -1.000 0.500 0.000 -0.500 -1.000 0.500
-Y4  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 0.500 -1.000 -0.500 0.000 0.500 -1.000 -0.500



kpoint  Z : 0.000000 0.000000 0.500000 ; A  :  0.0 0.0 0.5 :  1 2
-(Z)A3A4  2   2.000 2.000 0.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000 0.000 0.000 0.000
