SG=<i>P</i><sub><i>I</i></sub>2<sub>1</sub>3
 name=198.11
 spinor=False
symmetries=
       1 0 0 0 1 0 0 0 1    0 0 0                                                                                                                            1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
 -1 0 0 0 -1 0 0 0 1    1/2 0 1/2                                                                                                                           1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
 -1 0 0 0 1 0 0 0 -1    0 1/2 1/2                                                                                                                            0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0
 1 0 0 0 -1 0 0 0 -1    1/2 1/2 0                                                                                                                          0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0
       0 0 1 1 0 0 0 1 0    0 0 0  0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    -0.7853981633974483 -2.356194490192345 -0.7853981633974483 0.7853981633974483
 0 0 1 -1 0 0 0 -1 0    1/2 1/2 0    0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    0.7853981633974483 2.356194490192345 0.7853981633974483 -0.7853981633974483
 0 0 -1 -1 0 0 0 1 0    1/2 0 1/2  0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    0.7853981633974483 -0.7853981633974483 -2.356194490192345 -0.7853981633974483
 0 0 -1 1 0 0 0 -1 0    0 1/2 1/2    0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    -0.7853981633974483 0.7853981633974483 2.356194490192345 0.7853981633974483
       0 1 0 0 0 1 1 0 0    0 0 0    0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    0.7853981633974483 0.7853981633974483 2.356194490192345 -0.7853981633974483
 0 -1 0 0 0 1 -1 0 0    0 1/2 1/2    0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    -0.7853981633974483 2.356194490192345 0.7853981633974483 0.7853981633974483
 0 1 0 0 0 -1 -1 0 0    1/2 1/2 0  0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    0.7853981633974483 -2.356194490192345 -0.7853981633974483 -0.7853981633974483
 0 -1 0 0 0 -1 1 0 0    1/2 0 1/2  0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    -0.7853981633974483 -0.7853981633974483 -2.356194490192345 0.7853981633974483
 1 0 0 0 1 0 0 0 1    1/2 1/2 1/2                                                                                                                            1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
   -1 0 0 0 -1 0 0 0 1    0 1/2 0                                                                                                                           1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
   -1 0 0 0 1 0 0 0 -1    1/2 0 0                                                                                                                            0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0
   1 0 0 0 -1 0 0 0 -1    0 0 1/2                                                                                                                          0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0
 0 0 1 1 0 0 0 1 0    1/2 1/2 1/2  0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    -0.7853981633974483 -2.356194490192345 -0.7853981633974483 0.7853981633974483
   0 0 1 -1 0 0 0 -1 0    0 0 1/2    0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    0.7853981633974483 2.356194490192345 0.7853981633974483 -0.7853981633974483
   0 0 -1 -1 0 0 0 1 0    0 1/2 0  0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    0.7853981633974483 -0.7853981633974483 -2.356194490192345 -0.7853981633974483
   0 0 -1 1 0 0 0 -1 0    1/2 0 0    0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    -0.7853981633974483 0.7853981633974483 2.356194490192345 0.7853981633974483
 0 1 0 0 0 1 1 0 0    1/2 1/2 1/2    0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    0.7853981633974483 0.7853981633974483 2.356194490192345 -0.7853981633974483
   0 -1 0 0 0 1 -1 0 0    1/2 0 0    0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    -0.7853981633974483 2.356194490192345 0.7853981633974483 0.7853981633974483
   0 1 0 0 0 -1 -1 0 0    0 0 1/2  0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    0.7853981633974483 -2.356194490192345 -0.7853981633974483 -0.7853981633974483
   0 -1 0 0 0 -1 1 0 0    0 1/2 0  0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    -0.7853981633974483 -0.7853981633974483 -2.356194490192345 0.7853981633974483


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
-GM1     1  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0
-GM2GM3  2  2.0  2.0  2.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0  2.0  2.0  2.0  2.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
-GM4     3 -1.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.0 -1.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.0 -1.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.0 -1.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0



kpoint  M : 0.500000 0.500000 0.000000 :  1 2 3 4 5 6 7 8
-M1  1  1.0  0.0  0.0  1.0  1.0  0.0  0.0  1.0 -1.0  0.0  0.0  1.0 -1.0  0.0  0.0
-M2  1  1.0  0.0  0.0  1.0  1.0  0.0  0.0  1.0 -1.0  0.0  0.0  1.0 -1.0  0.0  0.0
-M3  1 -1.0  0.0  0.0  1.0 -1.0  0.0  0.0  1.0  1.0  0.0  0.0  1.0  1.0  0.0  0.0
-M4  1 -1.0  0.0  0.0  1.0 -1.0  0.0  0.0  1.0  1.0  0.0  0.0  1.0  1.0  0.0  0.0



