SG=<i>P</i><sub><i>c</i></sub>31<i>m</i>
 name=157.56
 spinor=True
symmetries=
     1 0 0 0 1 0 0 0 1    0 0 0                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
   0 -1 0 1 -1 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 0.6666666666666667
   -1 1 0 -1 0 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.6666666666666667 0.0 0.0 0.3333333333333333
     0 1 0 1 0 0 0 0 1    0 0 0  0.0 1.0 1.0 0.0    0.0 0.8333333333333334 0.16666666666666669 0.0
   1 -1 0 0 -1 0 0 0 1    0 0 0                               0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0
   -1 0 0 -1 1 0 0 0 1    0 0 0  0.0 1.0 1.0 0.0    0.0 0.16666666666666669 0.8333333333333334 0.0
   1 0 0 0 1 0 0 0 1    0 0 1/2                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
 0 -1 0 1 -1 0 0 0 1    0 0 1/2   1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 0.6666666666666667
 -1 1 0 -1 0 0 0 0 1    0 0 1/2   1.0 0.0 0.0 1.0    0.6666666666666667 0.0 0.0 0.3333333333333333
   0 1 0 1 0 0 0 0 1    0 0 1/2  0.0 1.0 1.0 0.0    0.0 0.8333333333333334 0.16666666666666669 0.0
 1 -1 0 0 -1 0 0 0 1    0 0 1/2                               0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0
 -1 0 0 -1 1 0 0 0 1    0 0 1/2  0.0 1.0 1.0 0.0    0.0 0.16666666666666669 0.8333333333333334 0.0


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2 3 4 5 6 7 8 9 10 11 12
-GM4GM5  2 -2.0 -2.0  0.0  0.0  0.0 -2.0  2.0  2.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
-GM6     2  1.0  1.0  0.0  0.0  0.0 -2.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0  2.0 -1.0 -1.0  0.0  0.0  0.0 -2.0  1.0  1.0



kpoint  A : 0.000000 0.000000 0.500000 :  1 2 3 4 5 6 7 8 9 10 11 12
-A4A5  2 -2.0 -2.0  0.0  0.0  0.0 -2.0  2.0  2.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
-A6A6  4  2.0  2.0  0.0  0.0  0.0 -4.0 -2.0 -2.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0



kpoint  H : 0.333333 0.333333 0.500000 :  1 2 3 4 5 6
-H4  1 -1.0 -1.0  0.0  0.0  0.0 -1.0  1.0  1.0  0.0  0.0  0.0
-H5  1 -1.0 -1.0  0.0  0.0  0.0 -1.0  1.0  1.0  0.0  0.0  0.0
-H6  2  1.0  1.0  0.0  0.0  0.0 -2.0 -1.0 -1.0  0.0  0.0  0.0



kpoint  HA : 0.666667 0.666667 0.500000 :  1 2 3 4 5 6
-HA4  1 -1.0 -1.0  0.0  0.0  0.0 -1.0  1.0  1.0  0.0  0.0  0.0
-HA5  1 -1.0 -1.0  0.0  0.0  0.0 -1.0  1.0  1.0  0.0  0.0  0.0
-HA6  2  1.0  1.0  0.0  0.0  0.0 -2.0 -1.0 -1.0  0.0  0.0  0.0



kpoint  K : 0.333333 0.333333 0.000000 :  1 2 3 4 5 6
-K4  1 -1.0 -1.0  0.0  0.0  0.0 -1.0  1.0  1.0  0.0  0.0  0.0
-K5  1 -1.0 -1.0  0.0  0.0  0.0 -1.0  1.0  1.0  0.0  0.0  0.0
-K6  2  1.0  1.0  0.0  0.0  0.0 -2.0 -1.0 -1.0  0.0  0.0  0.0



kpoint  KA : 0.666667 0.666667 0.000000 :  1 2 3 4 5 6
-KA4  1 -1.0 -1.0  0.0  0.0  0.0 -1.0  1.0  1.0  0.0  0.0  0.0
-KA5  1 -1.0 -1.0  0.0  0.0  0.0 -1.0  1.0  1.0  0.0  0.0  0.0
-KA6  2  1.0  1.0  0.0  0.0  0.0 -2.0 -1.0 -1.0  0.0  0.0  0.0



kpoint  L : 0.500000 0.000000 0.500000 :  1 2 3 4
-L3L4  2  0.0 -2.0  0.0  0.0  0.0  0.0  0.0



kpoint  M : 0.500000 0.000000 0.000000 :  1 2 3 4
-M3M4  2  0.0 -2.0  0.0  0.0  0.0  0.0  0.0
