SG=P6'/m'm'm
 name=191.238
 nsym=12
 spinor=True
symmetries=
    1 0 0   0 1 0   0 0 1   0 0 0                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
  0 -1 0   1 -1 0   0 0 1   0 0 0   1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 0.6666666666666667
  -1 1 0   -1 0 0   0 0 1   0 0 0   1.0 0.0 0.0 1.0    0.6666666666666667 0.0 0.0 0.3333333333333333
 0 -1 0   -1 0 0   0 0 -1   0 0 0  0.0 1.0 1.0 0.0    0.0 0.8333333333333334 0.16666666666666669 0.0
  -1 1 0   0 1 0   0 0 -1   0 0 0                               0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0
  1 0 0   1 -1 0   0 0 -1   0 0 0  0.0 1.0 1.0 0.0    0.0 0.16666666666666669 0.8333333333333334 0.0
 -1 0 0   0 -1 0   0 0 -1   0 0 0                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
  0 1 0   -1 1 0   0 0 -1   0 0 0   1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 0.6666666666666667
  1 -1 0   1 0 0   0 0 -1   0 0 0   1.0 0.0 0.0 1.0    0.6666666666666667 0.0 0.0 0.3333333333333333
    0 1 0   1 0 0   0 0 1   0 0 0  0.0 1.0 1.0 0.0    0.0 0.8333333333333334 0.16666666666666669 0.0
  1 -1 0   0 -1 0   0 0 1   0 0 0                               0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0
  -1 0 0   -1 1 0   0 0 1   0 0 0  0.0 1.0 1.0 0.0    0.0 0.16666666666666669 0.8333333333333334 0.0


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8 9 10 11 12
-H4  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -1.000 -1.000 -0.500 -0.500 -0.500 0.000 -1.000 0.000 -0.500 0.500 -0.500
-H5  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -1.000 -1.000 0.500 0.500 0.500 0.000 -1.000 0.000 0.500 -0.500 0.500
-H6  2    2.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.732 1.732 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.500 -0.500



 kpoint  K : 0.333333 0.333333 0.000000  : 1 2 3 7 8 9 10 11 12
-K4  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -1.000 -1.000 -0.500 -0.500 -0.500 0.000 -1.000 0.000 -0.500 0.500 -0.500
-K5  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -1.000 -1.000 0.500 0.500 0.500 0.000 -1.000 0.000 0.500 -0.500 0.500
-K6  2    2.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.732 1.732 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.500 -0.500



 kpoint  L : 0.500000 0.000000 0.500000  : 1 6 7 12
-L3  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.500 0.000 -0.500 0.000 -0.500 0.000 -0.500
-L4  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.500 0.000 0.500 0.000 0.500 0.000 0.500
